ConceptID,ConceptLabel,Dependencies,TaxonomyID
241,Ingress Protection Rating,21|240,DEPLOY
242,Sensor Exposure,22|72,DEPLOY
243,Power Budget,185|186|238,DEPLOY
244,Battery Capacity,243,DEPLOY
245,Solar Panel,123|243,DEPLOY
246,Charge Controller,244|245,DEPLOY
247,Duty Cycling,206|243,DEPLOY
248,Telemetry,25|238,DEPLOY
249,Cellular Data Link,196|248,DEPLOY
250,Wi-Fi Network,248,DEPLOY
251,Base Station,199|250,DEPLOY
252,Intermittent Connectivity,249|250,DEPLOY
253,Weather Forecasting,44|92,IMPACT
254,Severe Weather Warning,141|253,IMPACT
255,Agricultural Planning,73|97|256,IMPACT
256,Evapotranspiration,50|115,IMPACT
257,Energy Demand,43|73,IMPACT
258,Solar Energy Generation,115|123,IMPACT
259,Aviation Safety,90|138,IMPACT
260,Building Code,143|159,IMPACT
261,Urban Heat Island,74|239,IMPACT
262,Air Quality,42|127,IMPACT
263,Wildfire Risk,96|128|262,IMPACT
264,Flood Warning,52|253,IMPACT
265,Tsunami Warning,160|161,IMPACT
266,Climate Record,43|218|237,IMPACT
267,Citizen Science,1|268,IMPACT
268,Data Sharing,226|237,IMPACT
269,Science Communication,5|267,IMPACT
